,didok,parkrail_anzahl,parkrail_preis_tag,parkrail_preis_monat,parkrail_preis_jahr,parkrail_pflichtig_zeit1,parkrail_pflichtig_zeit2,parkrail_pflichtig_zeit3,parkrail_bemerkung,railtaxitext,railtaxiinfo,mietvelo_bezeichnung,mietvelo_anzahl,mietvelo_bemerkung,veloparking_status_d,veloparking_bemerkung_d,veloparking_abschliessbar,veloparking_abschliessbar_text,carsharing_standort_bezeichnung,parkrail_app,parkrail_webshop,parkrail_lokal,parkrail_automat,bpuic,bezeichnung_offiziell,abkuerzung,lod,tu_nummer,meteo,plz,geopos.lon,geopos.lat,train_station_ids
0,10,,,,,,,,"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.",Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
482,4030,,,,,,,,,Gratisnummer 0800 44 22 66,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,,,,,8504030,Villars-sur-Glâne,VG,http://lod.opentransportdata.swiss/didok/8504030,11,https://meteo.sbb.ch/?didok=8504030,1752,7.116385623875696,46.78982981875982,/8504030
483,4040,0.0,,,,,,,Keine Parkplätze vorhanden.,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,0.0,0.0,0.0,0.0,8504040,Corseaux-Cornalles,CORS,http://lod.opentransportdata.swiss/didok/8504040,11,https://meteo.sbb.ch/?didok=8504040,1802,6.8247808029177985,46.47045139363696,/8504040/8504015
484,4100,35.0,12.0,150.0,1500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"<b>Die obrigen Angaben gelten nur für den Parkplatz direkt am Bahnhof Fribourg</b><br>
Parking Ancienne Gare:<br> (24h/24) Plätze nur stunden- oder tageweise, Verkauf mit der P+Rail App, Parkuhr oder am Bahnschalter.Weitere Parkplätze gibt es im Parkhaus der TPF<br><br>
<b>Parking Gare routière unterirdisch</b>
Verkauf Tageskarte «SBB-Kunden» CHF 15.– sowie Monats- und Jahresabos (Öffnungszeiten 05.00-01.00) nur vor Ort im Reisezentrum Freiburg, aktuell verfügbares Kontingent nur für Monatsabonnements. <br> Gehen Sie auf Nummer sicher und reservieren Sie Ihren Parkplatz am Bahnhof unter P+Rail: https://parkandrail.ch",Gratisnummer 0800 44 22 66,"Zugehörige Agglomerationsstandorte: Villars-sur-Glane, Givisiez, Marly, Belfaux, Grolly, Crominboeuf, Courtepin, Matran, Neyruz, Düdigen.

RailTaxi-Partner: Taxis Réunis SA",Countrybike,4.0,Selbstbedienungs-Station,Immer genügend Veloabstellplätze verfügbar,,1.0,Gepäckschalter,Fribourg Gare,1.0,0.0,1.0,1.0,8504100,Fribourg/Freiburg,FRI,http://lod.opentransportdata.swiss/didok/8504100,11,https://meteo.sbb.ch/?didok=8504100,1700,7.151046883336624,46.803148172176094,/8504100
487,4102,99.0,6.0,60.0,600.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Schmitten Bahnhof,1.0,1.0,0.0,0.0,8504102,Schmitten FR,SCMI,http://lod.opentransportdata.swiss/didok/8504102,11,https://meteo.sbb.ch/?didok=8504102,3185,7.253920397818743,46.86294135797493,/8504102
488,4104,15.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,0.0,0.0,1.0,8504104,Thörishaus Station,THO,http://lod.opentransportdata.swiss/didok/8504104,11,https://meteo.sbb.ch/?didok=8504104,3174,7.3570288047366885,46.90462573785279,/8504104/8504117/8504115
489,4105,,,,,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,Niederwangen Bahnhof,,,,,8504105,Niederwangen,NWA,http://lod.opentransportdata.swiss/didok/8504105,11,https://meteo.sbb.ch/?didok=8504105,3172,7.376463531196334,46.925507080003186,/8504105
490,4106,32.0,6.0,60.0,600.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr geht in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Tagesparkingtickets können auch am Billettautomaten gekauft werden.",Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,0.0,1.0,8504106,Bern Bümpliz Süd,BNBS,http://lod.opentransportdata.swiss/didok/8504106,11,https://meteo.sbb.ch/?didok=8504106,3018,7.3952379524965925,46.93748747604266,/8504106/8504489/8504495/8504108/8507082
491,4108,,,,,,,,,Gratisnummer 0800 44 22 66,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,,,,,8504108,Bern Europaplatz,BNAS,http://lod.opentransportdata.swiss/didok/8504108,11,https://meteo.sbb.ch/?didok=8504108,3008,7.4061175550690885,46.9442098329167,/8504108/8507082/8504495/8504106/8504489
492,4113,5.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,0.0,0.0,0.0,8504113,Wünnewil,WUE,http://lod.opentransportdata.swiss/didok/8504113,11,https://meteo.sbb.ch/?didok=8504113,3184,7.2806541464273575,46.87186094449211,/8504113
493,4115,8.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,0.0,1.0,8504115,Thörishaus Dorf,THOD,http://lod.opentransportdata.swiss/didok/8504115,11,https://meteo.sbb.ch/?didok=8504115,3174,7.351866624364698,46.89356923704146,/8504115/8504104
