,didok,parkrail_anzahl,parkrail_preis_tag,parkrail_preis_monat,parkrail_preis_jahr,parkrail_pflichtig_zeit1,parkrail_pflichtig_zeit2,parkrail_pflichtig_zeit3,parkrail_bemerkung,railtaxitext,railtaxiinfo,mietvelo_bezeichnung,mietvelo_anzahl,mietvelo_bemerkung,veloparking_status_d,veloparking_bemerkung_d,veloparking_abschliessbar,veloparking_abschliessbar_text,carsharing_standort_bezeichnung,parkrail_app,parkrail_webshop,parkrail_lokal,parkrail_automat,bpuic,bezeichnung_offiziell,abkuerzung,lod,tu_nummer,meteo,plz,geopos.lon,geopos.lat,train_station_ids
0,10,,,,,,,,"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.",Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel",Elektrovelo,10.0,"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos","Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,1.0,Velostation https://www.velostation.ch/velostationen/basel-3/,Basel Badischer Bahnhof,0.0,0.0,1.0,0.0,8500010,Basel SBB,BS,http://lod.opentransportdata.swiss/didok/8500010,11,https://meteo.sbb.ch/?didok=8500010,4051,7.589562790156525,47.5474120550501,/8500010
32,16,,,,,,,,,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Basel St. Johann Bahnhof,,,,,8500016,Basel St Johann,BSSJ,http://lod.opentransportdata.swiss/didok/8500016,11,https://meteo.sbb.ch/?didok=8500016,4056,7.5725293837102425,47.57030632125374,/8500016
33,20,31.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,Gratisnummer 0800 44 22 66,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,Muttenz Bahnhof,1.0,1.0,1.0,1.0,8500020,Muttenz,MU,http://lod.opentransportdata.swiss/didok/8500020,11,https://meteo.sbb.ch/?didok=8500020,4132,7.647894426908637,47.53359121189707,/8500020
34,21,58.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,1.0,,Pratteln Bahnhof,1.0,1.0,0.0,1.0,8500021,Pratteln,PR,http://lod.opentransportdata.swiss/didok/8500021,11,https://meteo.sbb.ch/?didok=8500021,4133,7.690817304270063,47.52266863171069,/8500021
35,22,25.0,6.0,60.0,600.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,Weitere PP in Frenkendorf TOM: Mo-So 06.00 - 20.00.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Frenkendorf-Füllinsdorf Bahnhof,1.0,1.0,1.0,1.0,8500022,Frenkendorf-Füllinsdorf,FRE,http://lod.opentransportdata.swiss/didok/8500022,11,https://meteo.sbb.ch/?didok=8500022,4402,7.7191105315513475,47.501469991082466,/8500022
36,23,203.0,10.0,80.0,800.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"P+Rail-Anlage Sichtern ist komplett aufgehoben. Ersatzparkplätze stehen auf dem Martin-Birmann-Spitalareal zur Verfügung.
Am Ende der Bauarbeiten im 2025 wird ein neues Parkhaus auf der Tiergartenstrasse eröffnet. Weitere Informationen über das Bahnausbauprojekt Vierspurausbau Liestal, siehe www.sbb.ch/liestal",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Liestal Bahnhof,1.0,1.0,0.0,1.0,8500023,Liestal,LST,http://lod.opentransportdata.swiss/didok/8500023,11,https://meteo.sbb.ch/?didok=8500023,4410,7.73136748070282,47.48446117213494,/8500023
37,24,18.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Lausen Bahnhof,1.0,1.0,0.0,1.0,8500024,Lausen,LSN,http://lod.opentransportdata.swiss/didok/8500024,11,https://meteo.sbb.ch/?didok=8500024,4415,7.759762813994756,47.470344672492615,/8500024
38,25,10.0,0.0,0.0,0.0,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,0.0,0.0,0.0,1.0,8500025,Itingen,IT,http://lod.opentransportdata.swiss/didok/8500025,11,https://meteo.sbb.ch/?didok=8500025,4452,7.787225979669532,47.46727871777725,/8500025
39,26,110.0,8.0,60.0,600.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,Sissach Bahnhof,1.0,1.0,1.0,1.0,8500026,Sissach,SIS,http://lod.opentransportdata.swiss/didok/8500026,11,https://meteo.sbb.ch/?didok=8500026,4450,7.812027570472961,47.4627541168619,/8500026
40,27,88.0,6.0,60.0,600.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,Gelterkinden Bahnhof,1.0,1.0,0.0,1.0,8500027,Gelterkinden,GKD,http://lod.opentransportdata.swiss/didok/8500027,11,https://meteo.sbb.ch/?didok=8500027,4460,7.8476672215733645,47.46589371982799,/8500027
41,28,40.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,1.0,1.0,1.0,1.0,8500028,Tecknau,TK,http://lod.opentransportdata.swiss/didok/8500028,11,https://meteo.sbb.ch/?didok=8500028,4492,7.887618191018743,47.445760206901056,/8500028
42,31,,,,,,,,Keine Parkplätze vorhanden.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8500031,Diepflingen,DIE,http://lod.opentransportdata.swiss/didok/8500031,11,https://meteo.sbb.ch/?didok=8500031,4442,7.837717393677194,47.4495605078662,/8500031
43,32,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,,,,,8500032,Sommerau,SOM,http://lod.opentransportdata.swiss/didok/8500032,11,https://meteo.sbb.ch/?didok=8500032,4444,7.851481365890912,47.43902135793572,/8500032
44,33,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,,,,,8500033,Rümlingen,RLG,http://lod.opentransportdata.swiss/didok/8500033,11,https://meteo.sbb.ch/?didok=8500033,4444,7.850541943493697,47.42537925471297,/8500033
45,34,0.0,,,,,,,Keine Parkplätze vorhanden.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,1.0,1.0,8500034,Buckten,BUC,http://lod.opentransportdata.swiss/didok/8500034,11,https://meteo.sbb.ch/?didok=8500034,4446,7.847800531020694,47.40899104799274,/8500034
46,35,10.0,0.0,0.0,0.0,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,0.0,0.0,0.0,0.0,8500035,Läufelfingen,LF,http://lod.opentransportdata.swiss/didok/8500035,11,https://meteo.sbb.ch/?didok=8500035,4448,7.8562315772739435,47.39213289163634,/8500035
47,37,,,,,,,,,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,,,,,8500037,Trimbach,TRI,http://lod.opentransportdata.swiss/didok/8500037,11,https://meteo.sbb.ch/?didok=8500037,4632,7.9042853585410136,47.3660521904468,/8500037
48,38,,,,,,,,,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,1.0,Velostation https://www.velostation.ch/velostationen/basel-3/,,,,,,8500038,Basel St Jakob,BSJA,http://lod.opentransportdata.swiss/didok/8500038,11,https://meteo.sbb.ch/?didok=8500038,4052,7.619532291690768,47.54261314576952,/8500038/8500136
49,100,12.0,0.0,0.0,0.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8500100,Tavannes,TA,http://lod.opentransportdata.swiss/didok/8500100,11,https://meteo.sbb.ch/?didok=8500100,2710,7.201645389619083,47.21984466031046,/8500100
50,101,,,,,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,,,,,8500101,Reconvilier,REC,http://lod.opentransportdata.swiss/didok/8500101,11,https://meteo.sbb.ch/?didok=8500101,2732,7.227417925338896,47.23523833293621,/8500101
51,102,6.0,0.0,0.0,0.0,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,1.0,Gepäckschalter,,0.0,0.0,0.0,0.0,8500102,Malleray-Bévilard,MB,http://lod.opentransportdata.swiss/didok/8500102,11,https://meteo.sbb.ch/?didok=8500102,2735,7.275946266502289,47.238714191850846,/8500102
52,103,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,,,,,8500103,Sorvilier,SOR,http://lod.opentransportdata.swiss/didok/8500103,11,https://meteo.sbb.ch/?didok=8500103,2736,7.305793604162895,47.23935383042604,/8500103
53,104,3.0,0.0,0.0,0.0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8500104,Court,CT,http://lod.opentransportdata.swiss/didok/8500104,11,https://meteo.sbb.ch/?didok=8500104,2738,7.342109877725175,47.24060091564436,/8500104
54,105,109.0,6.0,60.0,600.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,Moutier Gare,1.0,1.0,1.0,1.0,8500105,Moutier,MOU,http://lod.opentransportdata.swiss/didok/8500105,11,https://meteo.sbb.ch/?didok=8500105,2740,7.3810442962696,47.28067251747751,/8500105
55,109,120.0,6.0,60.0,600.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",,,,,,Immer genügend Veloabstellplätze verfügbar,,1.0,,Delémont Gare,1.0,1.0,0.0,1.0,8500109,Delémont,DMT,http://lod.opentransportdata.swiss/didok/8500109,11,https://meteo.sbb.ch/?didok=8500109,2800,7.350063323401276,47.362012700093885,/8500109
56,113,97.0,6.0,60.0,600.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Laufen Bahnhof,1.0,1.0,1.0,1.0,8500113,Laufen,LFN,http://lod.opentransportdata.swiss/didok/8500113,11,https://meteo.sbb.ch/?didok=8500113,4242,7.502636130936873,47.419346483524734,/8500113
57,114,113.0,5.0,50.0,500.0,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,0.0,0.0,0.0,0.0,8500114,Zwingen,ZWG,http://lod.opentransportdata.swiss/didok/8500114,11,https://meteo.sbb.ch/?didok=8500114,4222,7.530463031351539,47.433799187304444,/8500114
58,115,22.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,1.0,1.0,8500115,Grellingen,GREL,http://lod.opentransportdata.swiss/didok/8500115,11,https://meteo.sbb.ch/?didok=8500115,4203,7.591988354792372,47.44129489523931,/8500115
59,116,13.0,,,,,,,13 kostenlose Parkplätze auf Gemeindeboden.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8500116,Duggingen,DUG,http://lod.opentransportdata.swiss/didok/8500116,11,https://meteo.sbb.ch/?didok=8500116,4202,7.603460736311326,47.453444859452624,/8500116
60,117,51.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,Aufgrund von Bahnersatzleistungen werden von Juni - August 2023 15 Parkplätze weniger zur Verfügung stehen. Die Fläche wird zum Wenden der Ersatzbusse benötigt.,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,Aesch (BL) Bahnhof,1.0,1.0,1.0,1.0,8500117,Aesch BL,AE,http://lod.opentransportdata.swiss/didok/8500117,11,https://meteo.sbb.ch/?didok=8500117,4147,7.603068210227586,47.46774466229035,/8500117
61,118,45.0,8.0,80.0,800.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"12 oberirdische Parkplätze und 33 Parkplätze in der Tiefgarage.<br>
Die Parkuhr geht in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,Dornach Bahnhof,1.0,1.0,0.0,1.0,8500118,Dornach-Arlesheim,DOR,http://lod.opentransportdata.swiss/didok/8500118,11,https://meteo.sbb.ch/?didok=8500118,4143,7.611118941847515,47.48861983603074,/8500118
62,119,35.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Münchenstein Bahnhof,1.0,1.0,0.0,1.0,8500119,Münchenstein,MST,http://lod.opentransportdata.swiss/didok/8500119,11,https://meteo.sbb.ch/?didok=8500119,4142,7.617596690256687,47.51339736244527,/8500119
63,120,26.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,1.0,1.0,0.0,1.0,8500120,Courtételle,CTT,http://lod.opentransportdata.swiss/didok/8500120,11,https://meteo.sbb.ch/?didok=8500120,2852,7.31794276823699,47.342829008594414,/8500120
64,121,10.0,0.0,0.0,0.0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8500121,Courfaivre,CFV,http://lod.opentransportdata.swiss/didok/8500121,11,https://meteo.sbb.ch/?didok=8500121,2853,7.291165742215083,47.335083125319805,/8500121
65,122,36.0,0.0,0.0,0.0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8500122,Bassecourt,BSC,http://lod.opentransportdata.swiss/didok/8500122,11,https://meteo.sbb.ch/?didok=8500122,2854,7.246846233509848,47.3366868768113,/8500122
66,123,8.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr geht in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,1.0,1.0,0.0,1.0,8500123,Glovelier,GLO,http://lod.opentransportdata.swiss/didok/8500123,11,https://meteo.sbb.ch/?didok=8500123,2855,7.209312768167127,47.33520951994369,/8500123
67,124,25.0,0.0,0.0,0.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,1.0,0.0,8500124,St-Ursanne,SU,http://lod.opentransportdata.swiss/didok/8500124,11,https://meteo.sbb.ch/?didok=8500124,2882,7.165957053541905,47.367702903390985,/8500124
68,125,42.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",,,,,,Immer genügend Veloabstellplätze verfügbar,,1.0,Gepäckschalter,,1.0,1.0,0.0,1.0,8500125,Courgenay,CG,http://lod.opentransportdata.swiss/didok/8500125,11,https://meteo.sbb.ch/?didok=8500125,2950,7.124205043857655,47.40522617645739,/8500125
69,126,43.0,5.0,50.0,500.0,,,,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,1.0,Gepäckschalter,Porrentruy Gare,0.0,0.0,0.0,0.0,8500126,Porrentruy,POR,http://lod.opentransportdata.swiss/didok/8500126,11,https://meteo.sbb.ch/?didok=8500126,2900,7.080077285085161,47.42091638308304,/8500126
70,127,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,,,,,8500127,Courtemaîche,CTM,http://lod.opentransportdata.swiss/didok/8500127,11,https://meteo.sbb.ch/?didok=8500127,2923,7.055380175122523,47.45586918373685,/8500127
71,128,23.0,0.0,0.0,0.0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8500128,Boncourt,BCT,http://lod.opentransportdata.swiss/didok/8500128,11,https://meteo.sbb.ch/?didok=8500128,2926,7.016551752254879,47.492631868363,/8500128
72,135,,,,,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,,,,,8500135,Pontenet,PON,http://lod.opentransportdata.swiss/didok/8500135,11,https://meteo.sbb.ch/?didok=8500135,2733,7.254159257906264,47.2388483249765,/8500135
73,141,,,,,,,,Keine Parkplätze vorhanden.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8500141,Courchavon,CCH,http://lod.opentransportdata.swiss/didok/8500141,11,https://meteo.sbb.ch/?didok=8500141,2922,7.0576459558224,47.43977439730042,/8500141
74,143,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,,,,,8500143,Grandgourt,GRA,http://lod.opentransportdata.swiss/didok/8500143,11,https://meteo.sbb.ch/?didok=8500143,2923,7.048107660127895,47.4699201468859,
75,144,0.0,,,,,,,Keine Parkplätze vorhanden.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8500144,Buix,BX,http://lod.opentransportdata.swiss/didok/8500144,11,https://meteo.sbb.ch/?didok=8500144,2925,7.029967263634955,47.479333256232906,/8500144
76,200,16.0,4.0,40.0,400.0,,,,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Pieterlen Bahnhof,1.0,1.0,0.0,1.0,8500200,Pieterlen,PIE,http://lod.opentransportdata.swiss/didok/8500200,11,https://meteo.sbb.ch/?didok=8500200,2542,7.340193538314756,47.171441154009955,/8500200
77,201,13.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse geht in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,0.0,1.0,8500201,Lengnau BE,LEN,http://lod.opentransportdata.swiss/didok/8500201,11,https://meteo.sbb.ch/?didok=8500201,2543,7.366553676350066,47.179431423257654,/8500201
78,202,83.0,6.0,60.0,600.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Grenchen Süd Bahnhof,1.0,1.0,0.0,1.0,8500202,Grenchen Süd,GS,http://lod.opentransportdata.swiss/didok/8500202,11,https://meteo.sbb.ch/?didok=8500202,2540,7.398180061160914,47.18877468867002,/8500202/8500159
79,203,16.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Tagesparkingtickets können auch am Billettautomaten gekauft werden.",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,0.0,1.0,8500203,Bettlach,BET,http://lod.opentransportdata.swiss/didok/8500203,11,https://meteo.sbb.ch/?didok=8500203,2544,7.428373016753348,47.19494941470177,/8500203
80,204,8.0,6.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,0.0,1.0,8500204,Selzach,SEL,http://lod.opentransportdata.swiss/didok/8500204,11,https://meteo.sbb.ch/?didok=8500204,2545,7.456635040201262,47.20062403005233,/8500204
81,205,,,,,,,,,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,,,,,8500205,Bellach,BELL,http://lod.opentransportdata.swiss/didok/8500205,11,https://meteo.sbb.ch/?didok=8500205,4512,7.507825396241336,47.208878781674926,/8500205/8518963/8500261
82,206,69.0,10.0,70.0,700.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,Aufgrund von Markierungsarbeiten eingeschränktes Platzangebot zwischen dem 4. und 7. Oktober 2023. <br> Die P+Rail-Parkplätze sind mit rot-weissen Zahlen markiert (weisse Parkfelder).,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Solothurn West Bahnhof,1.0,1.0,1.0,1.0,8500206,Solothurn West,SW,http://lod.opentransportdata.swiss/didok/8500206,11,https://meteo.sbb.ch/?didok=8500206,4500,7.531949150112823,47.206717288423135,/8500206/8518963/8500280/8500207/8500272
83,207,193.0,10.0,80.0,800.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Bitte beachten Sie, dass diese Informationen nur für die P+Rail-Anlage der SBB und nicht für die P+R Anlage der RBS gültig sind. <br> 2 E-Ladestationen vorhanden.",Gratisnummer 0800 44 22 66,"RailTaxi Treffpunkt: auf dem Kurzzeitparking neben avec Shop;; Zugehörige Agglomerationsstandorte: Bellach, Biberist, Derendingen, Feldbrunnen, Langendorf, Lüsslingen, Luterbach, Nennigkofen, Riedholz, Rüttenen, St. Niklaus, Zuchwil
Partner: SolTaxi, Solothurn / Taxi Stucki, Solothurn",Comfortbike,0.0,Ausgabe/Rücknahme der Velos in örtlicher Velostation. Anzahl und Velotypen auf http://www.rentabike.ch/stationen,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,1.0,Velostation http://www.velostation.ch/velostationen/solothurn,Solothurn Bahnhof,1.0,1.0,1.0,1.0,8500207,Solothurn,SO,http://lod.opentransportdata.swiss/didok/8500207,11,https://meteo.sbb.ch/?didok=8500207,4500,7.542689210978397,47.20419250287757,/8500207/8500280/8500206/8500272/8500273
95,208,16.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,0.0,0.0,1.0,8500208,Luterbach-Attisholz,LUT,http://lod.opentransportdata.swiss/didok/8500208,11,https://meteo.sbb.ch/?didok=8500208,4542,7.583523459570203,47.21714919274062,/8500208
96,209,8.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr geht in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,0.0,0.0,0.0,8500209,Deitingen,DN,http://lod.opentransportdata.swiss/didok/8500209,11,https://meteo.sbb.ch/?didok=8500209,4543,7.618913024824971,47.21822579770595,/8500209
97,210,32.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,1.0,1.0,8500210,Wangen an der Aare,WAA,http://lod.opentransportdata.swiss/didok/8500210,11,https://meteo.sbb.ch/?didok=8500210,3380,7.656234488596418,47.23195652523852,/8500210
98,211,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,,,,,8500211,Niederbipp,NB,http://lod.opentransportdata.swiss/didok/8500211,11,https://meteo.sbb.ch/?didok=8500211,4704,7.694818067323205,47.2704017343348,/8500211/8508159/8508158/8518690/8500289
99,212,147.0,7.0,70.0,700.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,Gehen Sie auf Nummer sicher und reservieren Sie Ihren Parkplatz am Bahnhof unter P+Rail: https://parkandrail.ch,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Oensingen Bahnhof,1.0,1.0,1.0,1.0,8500212,Oensingen,OEN,http://lod.opentransportdata.swiss/didok/8500212,11,https://meteo.sbb.ch/?didok=8500212,4702,7.709870322003083,47.285035105575524,/8500212/8518690
100,213,16.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking<br>
Aufgrund einer Baustelle sind 17 Parkplätze ab Mitte Juli - Ende September nicht zugänglich.",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,0.0,0.0,1.0,8500213,Oberbuchsiten,OB,http://lod.opentransportdata.swiss/didok/8500213,11,https://meteo.sbb.ch/?didok=8500213,4625,7.771723764143215,47.305247229439644,/8500213
101,214,31.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,0.0,1.0,8500214,Egerkingen,EG,http://lod.opentransportdata.swiss/didok/8500214,11,https://meteo.sbb.ch/?didok=8500214,4622,7.798966473462578,47.31486483591499,/8500214
102,215,31.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,1.0,Gepäckschalter,,1.0,1.0,0.0,1.0,8500215,Hägendorf,HAE,http://lod.opentransportdata.swiss/didok/8500215,11,https://meteo.sbb.ch/?didok=8500215,4614,7.843816396453369,47.33026780297659,/8500215
103,216,30.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,0.0,1.0,8500216,Wangen bei Olten,WBOL,http://lod.opentransportdata.swiss/didok/8500216,11,https://meteo.sbb.ch/?didok=8500216,4612,7.868360520003616,47.3414006731015,/8500216
